text,label
"Hello, I'm a sysop in <url>, I'm creating an Upload page like English Wikipedia <url>, I've changed file MediaWiki:Licenses/vi-ownwork corresponding to Own work options, but they still display Media:Licenses information. Can you know what problem is?",0
"Last month <url> was not promoted to FA because, apparently, not enough people had taken the time to read and comment.  If I nominate it again, will you read it (it's lengthy) and comment?",0
Sure. A redirect how though?,0
I just saw that after I left this message to you. By speech marks do you mean quotation marks?,1
"I will understand if you decline, but would very much like you to accept.  May I nominate you?",1
"Actually, I think I should route these terms (seismic design, and seismic engineering) to <url>. Does that sound like a better idea?",1
"If I am allowed to squeak in, maybe there should be some discussion at <url> where the editors would express their opinions on the matter, with the dates staying for the time as they were before this started, that is, BC/AD. No?",0
I'm see about the new Version 0.7 - which stated should FINALLY be published soon... When the exact date it published? Is there anything that I can help?,1
Anytime. How do you like this closer crop?,1
"Hello, again. Would you care to intervene at <url>?",1
"I was aware of that part of <url>, but I don't see its relevance here. Do you say that considering the audience is an arbitrary standard?",0
"Actually, the page I am looking for is more like the equivalent of '''<url>''' here at en:wiki.  Do you know of such a page at nn:wiki?",0
"It appears the question posted to your comment <url> was not answered. Out of curiosity, where is the correct place?",0
"Hello; I was just browing through and I happened to come across <url> page. I would just like to know, is this an old duplicate of the <url> page, or is it being developed for a new article?",0
"Cleaning up under what guidelines? For example, why are you rounding metric figures up to the nearest whole meter?",0
"Ok, would you mind if I created a UK specific category and shoved all the UK articles into there?  I would suggest renaming the US category, and putting them both (and other countries) into 'Railway Companies' or similar?",0
"I've tweaked it further: It's now accurate, to within my ability to describe a complicated subject, but rather too complicated. Can we simplify it without losing precision, or, alternately, put something before the precise definition that's a bit easier to understand?",1
"As a rough look over, the splits look ok to me (although yes, more discussion before forking is generally a good thing). If you think there are serious problems with them, why not just address it on the talk page?",0
It needs to be redirected anyone can do that. Is there any information that is in the article that is not in <url>?,0
"Can I you take a look at <url> and <url>? Specifically, look at the formatting of the general reference; is it an acceptable way to present the references?",1
"I responded to your talk page comment, encouraging you to try your hand at reworking it.  Good analysis of a potential problem, so why not take a whack at it?",1
"I removed the hyphen from ""oldest-known"", which is hard to see if you aren't looking for it. Does that answer the question?",0
"I was just curious why you named the <url> for Williamsburg County, not Georgetown County.  Is it because W County is listed first by the GNIS?",1
"Per the TFD debate, would you think it a reasonable solution to redirect this e.g. to <person>?",0
"But the block you've used is messing with me accessing WP though my user account; do you know why? Or if it can be fixed, without unblocking?",0
Thanks very much for your edit to the <url> article. Would you be interested in tackling the <url> of <url>?,1
Still at 1024 x 768 here '''Zangar''' and still looks fine to me. What about putting one of the images into the infobox using the piped 'static image=' parameter?,0
"Hi, I noticed on <url> you mentioned its Alexa traffic rank.  How do you find out the Alexa traffic rank of something?",0
"In the infobox for <url>, the ""Website"" link which points to ""The Stratton Audley Village Web Site"" redirects through http://www.strattonaudley.com/ to the <url>. Is this acceptable?",0
Hey. I'm proposing a <url> - would you be interested in coming along?,1
"Among the measures you described, it sounds as if the next thing to try is option-command-start and rebuild the desktop. Does rebuilding the desktop mean I'd get a blank and have to restore all the icons?",0
"In the <url> article, is polar mount correct?  It might be improved by a bit more detail about how it works, perhaps?",1
"Yes, ''kaen chokugeki hou'' is exactly right.  Do you have that same NTSC Hong Kong DVD that I do?",0
"Your DYK hook for <url> is missing something. It says ""''Frank Bancroft managed the now-defunct Major League Baseball Providence Grays...''"" - maybe ""'''his''' now-defunct Major League Baseball '''team, the''' Providence Grays,...""?",0
The <url> contained a number of British Army cavalry units from formation. Does this make it an <url> division rather than a (British) Indian division?,0
"Hi, Scottalter. Did you read <url> about it?",0
Hullo. How goes it?,0
I don't understand this <url>. Maybe you can explain what problems you have with the u9806u98a8u76f8u9001 reference?,0
"Hi, it looks like the en/em distinction is being preserved. What do you see as the advantage of changing the way they're currently written?",1
"I noticed that you removed the section "" Failure to prevent the attacks"" from the 9/11 attacks talk page yesterday and moved it unceremoniously to <url> without a single word of explanation. Please explain why?",0
"I see your point, but my real issue was wanting to add the 'too much trivia' tag as all these 'minor aspects' need to be integrated into the relevant sections (I'll have a go myself if I get time). Isn't it possible to create a 'pop culture references' section and then siphon it off into a separate page when it gets too big?",0
"Yes, I'd seen your note, but it looks as though all five of those edits were made by users other than Terra. Do you have any reason to suspect they are his sockpuppets?",0
In regard to your point - I've tried to find where does it shows that working in the company is not relevant to the deletion discussion. Where can I find it?,0
"Slightly more seriously, there's a discussion over at <url> about the lack of non-European info regards torture.  Any chance that in your manifold research on all things psychohistorical you've found something that could be used to expand the section?",1
"Great Article RaveenS, Do u want me to add this to the template (Sri Lankan Conflict)? I think it should be included in the ''see also'' section what do you suggest?",1
I wasn't sure what you mean by making the title a clickable link. Can you show me how to do that?,1
"...welcome back! Is this permanent, or are you just passing through?",1
"I notice you removed within a few minutes an anecdote added anonymously about how Nik Kershaw found his manager Micky Modern, as ""uncited"". Google shows that the essence of the story is related by Kershaw in an interview transcribed (with typos) at http://www.nikkershaw.it/press/interviews/2002interview.php?id=8 Is it not Wikipedia policy to flag such statements as uncited and allow time for a citation to be added?",0
What changes are you referring to???,0
"Oh, that's because I only copyedited a tiny section of the article. Should I still count that as a yes?",1
"Owain admitted on Talk:Traditional_counties_of_England that Bristol was a county back then, but he agreed that it would be anachronistic to talk of it as an administrative county.  What sort of county was it, then?",0
Replied there. Should we keep it in that one place for now?,0
I have my finger on the block button here <url> but thought I should run it by someone else who is familiar with the situation. What do you think?,0
"I know, I understood that. :)  I didn't scold you for it at all, did I make you feel that way?",1
"Hi Editorofthewiki,  both images are just fine.  I don't see an open review for the article; is there somewhere in particular you'd like me to make this comment, if not just here?",1
This came up for discussion on <url>. What is the last word on it?,0
"Stopped and removed. Could you pease be more specific when speaking of anti-Russian bias, with references to articles that you think they have?",0
"Since I have no purpose I don't need to use wikipedia, so can you change my username to <url> (<url>)???",0
I was just about to point that out. Is that permitted?,0
"I used the <url> tool, and clicked rather a lot. I'm happy to switch it on for your account, if you'd like?",1
Hi Emily!  Do you have any ideas about a topic yet?,1
"In what way do the GMTV images, such as <url>, conform with the guidelines at <url>? Where is the statement on the website saying that it is a press kit, and the images can be reproduced?",0
If we are going to work together effectively we need to get past these personal issues. Might you consider mediation?,0
Thanks! :) So we're allowed to do multiple revdels at a time now?,1
"Huaiwei,  there is this guy HkCaGu who insist that we shouldnt put Tianjin as one of Xiamen Airline's destination from Singapore just because it passes by Xiamen(MF's HUB) however, this is a direct flight from singapore to tianjin via xiamen. what are your views?",0
Thanks. Is <url> BOTijo whilst logged out?,0
Hi. Do you have any thoughts on <url>?,0
I have moved the navbox and the noinclude of the <url> to <url> because it would be stupid seeing an article called Template:PDC Top 16 when it is showing the top 20 players. Your thoughs?,0
"Hmm...I was not aware that a year had to pass for ''anyone'' to request an appeal for Everyking. Prior to today, when did they ever say this?",0
"Sorry, where's the selected event? Do you mean the ""Grand Parade of the States""?",0
"I wondered if you could recommend the best book on <url>. FOr Christmas, what would be the most detailed book (with lots of beautiful photographs) of Ladakh?",1
"Thanks for the response.  May I ask, are you a video gamer?",1
I'd like not to receive any notices from this bot on my talk page. Is there a way to do this?,0
Thank you. Was it anything in particular?,1
Is Castle Donington an incorporate municipality? Or is it just a place name?,0
It's possible he may not be an english speaker. Do you know of a french version of that warning?,0
"Thank you that clarifies matters. Has the image been listed for deletion on commons, or should I do so?",1
"In last few decencies many new theories occured about it, some prominent historians are involved from all ex-Yugoslav republics, with the same general idea - Slavic speakers were present in the Balkans much earlier, some claims say even from 1st century AD. What is said by ""your"" sources about it?",0
"CG, seems <url> is under attack as having an insufficiently global focus.  Can you add anything there about Australian variants?",0
"Hi, thanks for moving three of the Brussels municipalities. Could you move <url> to <url> as well?",1
I sort of liked the nav box for diabetes.  I am not sure how this could not be seen as the main topic area?,0
"This is what you stated from the page <url>.  Can you link to me the policy stating that minimum amount of content in an article, where it's not 'lacking in content,' is needed to be considered undue?",0
"I found <url> on your <url> as a bluelink, but in fact it is a redirect to <url>. Is there any chance to do some qeue-jumping on this article, or would it be easier to translate from <url>?",0
I saw many missing names in the huge table of geonames. (Names of places which have articles in Wikipedia) Since no editions are permitted how will the missing names be completed ?,0
"I'm not sure what needs doing now, or if there are further modifications required (this is the first article I've ever nominated for GA). Is there anything you can point me in the direction of?",0
"You were asking for a source for the <url> mention of the <url> service to Lagos from March 29th, which you reverted.  Would <url> do?",0
"Darkstar, I am completely baffled by this, I don't know where you are coming from or what your complaint is, and you are one of the writers that I most often agree with. Can you explain?",0
Sounds interesting. Could people keep me in the loop as well?,1
"Sorry that was written badly but you have ""Category:Songs introduced by Fred Astaire"" in ""Category:Songs introduced by Fred Astaire"". Should it not be in something like <url>?",0
I see you've created the page <url>. Are you by any chance related to the Hondo Hurricane?,0
I'm not sure I understand what this has to do with what I said.  Could you restate?,0
There hasn't been much progress made in the last three days. Is anyone interested in responding?,1
"Hey there. Do you mind if the Wells and Mendip Museum DYK you nominated ends up in the list of DYKs <url>, or would you rather it run sooner?",0
Wonderful! :) Do you particularly like to work on comics creators' articles?,1
"Hm, I was unaware of said threads. Would you mind providing me with a link?",0
